Object Tracking Data File Wed, Mar 4, 2026 10:43 AM
X (pixels)  	Y (pixels)  
802.88	33.18
801.73	35.57
797.44	34.84
790.25	36.76
789.53	40.05
792.16	42.84
789.10	45.95
789.45	42.64
787.10	43.70
784.11	42.67
780.71	40.75
781.78	38.78
780.13	37.77
780.93	42.45
780.18	48.91
781.01	44.17
786.11	41.13
779.09	37.79
783.66	39.23
785.32	42.25
785.21	38.38
783.07	44.62
779.16	49.77
775.90	50.52
780.12	51.07
783.39	52.21
789.53	50.96
788.21	51.38
789.11	50.28
786.21	53.97
788.40	60.15
793.78	55.92
795.04	53.86
798.28	53.19
793.54	52.17
787.35	53.70
791.21	53.90
794.73	50.53
794.50	52.14
794.25	45.33
799.14	45.50
799.28	50.00
796.46	44.75
798.99	39.87
798.23	37.44
795.94	40.81
800.58	38.12
806.04	33.61
809.48	37.30
809.15	42.26
813.65	40.36
817.72	41.47
822.53	39.53
825.54	46.85
826.29	51.48
825.91	48.07
829.63	45.32
832.38	47.52
834.46	41.39
839.07	41.63
838.62	42.18
842.17	41.80
837.18	43.24
834.62	43.96
843.33	45.13
839.09	44.12
835.38	43.69
844.16	36.90
847.42	38.39
850.54	40.01
851.72	34.05
854.06	31.45
852.61	25.60
854.70	27.64
850.19	25.19
857.07	24.28
861.76	23.50
869.36	26.82
868.82	25.01
871.69	25.60
874.85	17.44
875.35	12.43
871.01	9.33
871.20	8.44
871.69	8.97
881.73	14.41
883.31	19.01
883.26	16.25
884.04	17.02
879.96	21.34
877.05	19.86
882.50	21.10
888.13	15.85
881.64	17.19
888.10	19.64
889.30	25.23
878.84	35.52
875.99	33.81
879.07	26.37
881.34	23.77
880.26	15.97
880.79	22.52
877.02	23.44
876.57	20.72
880.39	23.08
877.54	21.23
879.68	21.66
879.06	18.58
882.89	13.48
887.61	14.25
893.67	12.50
901.98	12.81
899.71	8.29
903.52	8.55
902.30	5.86
901.08	9.88
896.21	3.26
899.04	2.69
900.35	4.84
898.74	6.90
