Object Tracking Data File Wed, Mar 4, 2026 10:48 AM
X (pixels)  	Y (pixels)  
682.11	163.92
680.21	161.00
680.12	160.69
681.49	159.78
677.43	158.75
677.64	164.29
676.15	168.09
677.49	168.71
680.04	166.92
682.00	169.19
685.09	170.80
681.55	175.89
682.53	175.83
687.40	172.92
685.08	173.56
682.73	169.42
682.85	169.17
683.01	168.52
682.46	167.53
680.37	169.38
678.46	171.64
680.20	167.27
679.82	165.99
682.96	170.71
685.51	169.04
687.96	166.26
690.55	165.65
690.64	161.86
687.31	165.87
684.36	171.11
693.31	170.31
688.69	163.64
693.36	158.65
693.57	158.18
693.43	155.01
688.03	156.41
691.61	153.01
692.18	155.48
687.68	156.15
683.78	152.99
681.39	153.51
682.37	158.10
681.50	160.59
678.37	162.35
684.72	164.25
689.12	165.80
684.31	163.46
682.34	160.72
606.93	166.75
602.24	166.42
609.07	166.16
603.30	164.15
609.37	163.67
611.33	169.51
612.51	168.47
612.21	166.35
616.63	164.86
622.43	166.98
624.85	167.83
702.01	161.39
714.76	161.70
718.53	159.90
639.60	153.72
625.58	157.30
624.69	156.56
625.87	156.85
631.03	159.71
630.15	164.65
639.97	161.26
649.47	164.41
655.01	158.45
658.63	158.53
663.59	157.60
665.45	159.44
661.35	154.98
661.55	148.98
661.92	146.70
660.00	143.80
657.32	142.65
656.12	139.41
658.97	138.22
660.14	132.97
657.71	126.89
660.60	127.23
659.82	125.94
663.92	131.51
665.73	129.04
668.58	127.84
666.11	128.80
667.35	131.99
670.24	131.56
670.60	131.35
672.38	134.91
676.13	135.71
674.75	139.11
671.59	145.26
673.59	147.63
673.14	145.40
675.76	145.54
752.58	143.46
684.08	137.82
682.75	136.45
688.48	135.71
759.85	137.81
767.57	134.23
703.44	136.44
770.07	137.64
702.83	140.13
771.13	140.92
703.80	140.35
703.28	143.05
775.59	145.16
787.08	142.70
788.94	148.88
790.76	148.67
791.46	146.58
792.20	145.36
789.84	147.75
793.97	147.04
790.79	140.95
