Object Tracking Data File Wed, Mar 4, 2026 10:50 AM
X (pixels)  	Y (pixels)  
322.01	283.21
325.25	284.96
321.44	286.77
315.84	288.85
318.32	289.42
323.40	285.82
327.00	286.09
323.77	288.62
330.64	287.24
339.19	283.91
338.15	281.60
338.93	279.35
334.84	277.60
329.81	278.64
331.88	279.10
330.42	283.27
331.86	283.50
330.86	289.47
329.69	287.26
325.50	287.49
330.37	289.53
330.60	284.44
331.12	290.97
327.86	291.00
326.30	297.06
322.78	296.93
325.45	292.53
323.97	293.18
334.12	297.64
340.21	300.31
337.74	304.67
338.97	308.98
336.85	309.39
338.25	307.87
343.17	312.24
348.66	314.51
349.05	316.07
345.74	314.62
350.12	309.88
355.24	306.18
359.56	304.99
365.51	302.34
368.65	302.53
370.63	305.70
377.25	305.97
381.48	303.50
385.74	300.20
380.98	293.88
381.35	282.83
389.71	285.69
390.77	284.64
396.04	288.38
402.04	289.40
404.54	280.38
408.24	279.66
413.45	275.78
411.08	280.24
418.92	285.49
421.75	290.20
419.07	288.93
418.25	286.65
420.78	284.13
424.96	282.58
420.91	282.46
425.28	281.68
433.86	282.64
435.73	281.27
442.74	277.95
439.25	270.38
440.80	267.35
436.61	265.57
435.68	267.90
438.04	270.31
434.88	262.90
440.22	261.79
443.27	264.30
451.47	265.06
455.98	269.00
459.33	268.71
458.71	267.07
447.28	267.84
455.98	272.50
462.92	279.44
460.12	285.44
460.47	288.79
469.29	295.20
468.31	293.09
471.13	289.56
475.40	290.92
481.71	282.83
484.90	287.77
489.43	289.87
491.11	291.52
490.22	292.06
485.06	288.08
490.55	285.50
491.30	288.69
486.41	281.45
477.97	280.83
479.69	280.09
479.65	283.71
486.39	275.84
483.33	273.98
479.57	271.13
480.87	269.17
481.74	272.17
485.35	270.96
488.73	272.44
499.36	277.43
510.11	270.40
514.35	273.92
510.73	275.37
509.71	270.05
509.20	270.47
508.44	271.84
514.57	274.20
517.95	278.46
519.01	278.62
517.01	276.72
516.55	277.79
