Object Tracking Data File Wed, Mar 4, 2026 11:08 AM
X (pixels)  	Y (pixels)  
744.29	526.04
747.22	522.59
745.36	525.02
745.53	528.30
752.72	532.56
749.83	524.70
759.48	528.17
761.44	523.73
763.11	529.86
768.12	523.02
766.46	519.88
767.75	509.70
768.10	513.75
773.60	508.63
773.71	507.93
769.75	507.62
772.27	502.86
779.55	502.74
772.52	502.28
775.33	493.04
778.54	493.83
776.43	487.60
778.73	484.10
777.89	484.88
778.88	486.25
783.53	481.07
782.77	479.09
781.62	481.77
780.80	476.97
781.54	480.41
780.87	480.36
778.70	480.26
781.96	483.63
781.47	485.47
781.69	484.10
784.83	485.62
787.49	483.67
785.55	480.00
787.15	486.70
788.64	487.88
786.53	484.73
785.96	486.46
784.73	486.11
786.78	481.46
785.91	478.17
784.91	477.58
782.87	480.11
780.88	479.91
779.01	479.94
780.61	481.42
782.39	487.19
780.65	487.15
784.35	486.64
785.63	479.02
785.93	479.66
788.60	479.16
787.29	478.79
788.75	475.79
786.01	474.02
785.59	473.90
793.45	480.88
795.37	478.25
794.54	481.41
799.83	484.81
799.68	486.18
805.09	490.13
815.39	491.97
815.27	496.97
814.36	494.62
814.21	485.86
818.72	490.72
824.66	490.22
822.79	486.10
825.09	483.07
819.23	479.11
820.23	473.89
818.87	466.58
813.69	466.73
815.20	467.89
813.50	473.70
815.66	473.76
809.65	479.30
804.32	480.78
805.05	479.48
804.37	478.07
806.07	484.95
806.85	482.49
804.68	477.40
805.79	478.47
805.23	481.01
798.96	485.06
802.68	483.86
798.36	490.50
796.94	486.51
795.63	489.10
790.52	487.64
789.48	486.75
787.15	489.26
787.56	487.58
785.90	481.66
790.17	481.01
787.04	484.84
784.86	483.68
780.64	480.31
781.73	475.21
777.56	473.36
779.72	472.41
781.39	470.20
783.14	475.01
784.09	476.20
783.31	482.11
784.88	481.02
784.81	480.35
781.08	475.14
784.91	473.32
785.30	475.78
788.43	472.19
788.62	474.15
789.42	478.99
796.68	480.58
744.29	526.04
