Object Tracking Data File Wed, Mar 4, 2026 11:09 AM
X (pixels)  	Y (pixels)  
281.50	586.93
277.76	586.65
275.88	586.63
272.71	583.35
274.18	578.78
276.15	567.24
278.85	588.06
278.22	590.22
281.76	590.67
283.66	590.53
285.93	592.96
284.23	574.68
284.25	575.78
282.80	578.27
282.32	569.78
284.14	567.84
286.39	571.06
287.36	568.16
286.44	568.23
283.45	569.89
282.34	576.13
289.36	570.13
290.96	572.42
289.37	577.40
289.28	573.64
286.11	576.53
286.93	581.25
279.80	583.08
279.79	586.95
282.68	587.29
282.11	590.61
284.61	590.97
289.46	594.32
290.06	595.06
287.52	592.03
287.10	594.10
291.20	596.74
292.95	597.92
289.28	596.83
297.39	600.17
300.06	602.84
300.36	600.91
300.37	599.23
301.40	597.73
303.58	602.84
309.48	599.29
307.15	594.25
304.76	590.03
308.25	590.52
309.95	594.92
308.86	594.78
309.83	592.33
312.13	595.59
313.79	595.01
317.48	596.97
321.80	602.67
303.40	613.37
325.11	610.73
328.59	613.93
333.10	612.20
334.93	605.13
336.81	601.96
333.97	602.03
334.55	602.50
334.51	599.45
337.08	595.62
341.23	602.07
344.05	603.66
340.93	602.42
338.78	603.36
342.65	605.21
336.29	604.11
335.21	605.64
273.96	606.06
278.49	605.13
339.72	608.42
277.13	610.59
278.30	611.30
277.01	608.56
341.40	607.23
343.50	607.58
343.78	605.13
338.06	606.99
334.39	607.49
331.72	602.75
328.74	601.72
330.03	603.83
326.66	601.57
326.96	599.14
337.72	599.28
342.97	604.54
344.19	601.11
343.38	599.58
349.94	593.55
350.97	589.39
352.47	585.82
345.14	584.90
350.54	588.96
352.35	586.98
349.08	580.98
347.92	584.60
359.05	586.55
289.42	586.31
360.31	583.11
371.14	581.12
303.41	589.31
372.56	591.38
309.05	588.95
310.53	590.15
310.08	583.37
310.01	584.75
313.19	590.72
313.29	586.25
316.57	589.32
320.40	592.07
319.84	594.90
388.27	595.82
393.70	597.54
332.58	593.49
333.96	591.98
281.50	586.93
