Object Tracking Data File Wed, Mar 4, 2026 11:11 AM
X (pixels)  	Y (pixels)  
932.34	411.37
939.53	412.59
934.81	413.35
929.25	410.52
931.85	414.56
934.82	412.86
937.28	416.65
935.34	416.82
934.94	414.34
938.23	414.93
933.65	418.20
934.02	420.99
929.62	424.86
928.13	427.04
931.74	429.68
936.59	427.06
931.16	427.40
1003.60	424.84
1007.13	417.67
1004.09	415.08
1002.82	412.39
1001.14	411.47
1003.24	415.59
1002.83	413.89
997.73	417.14
999.79	414.44
997.54	411.42
999.23	418.58
997.98	415.84
996.33	422.54
994.05	425.06
994.32	424.95
926.43	424.70
925.00	422.46
925.21	421.49
926.48	425.03
923.57	426.59
929.34	429.51
928.98	425.56
928.17	423.27
923.18	421.93
924.08	417.53
920.40	411.42
917.57	410.41
918.55	408.24
920.24	405.62
924.76	404.81
926.99	407.74
931.22	411.09
932.73	415.36
940.32	417.25
948.69	416.06
949.79	419.76
956.34	422.19
955.55	425.75
955.45	421.32
958.87	418.45
960.14	419.43
962.03	418.66
964.53	419.20
962.30	414.10
963.86	410.50
966.12	411.16
968.27	415.07
968.69	418.71
970.84	416.61
968.27	417.21
968.66	418.03
972.32	415.25
972.59	417.68
970.70	414.67
969.19	411.27
968.48	405.07
968.42	406.12
967.27	407.03
967.80	410.29
969.85	414.05
968.81	419.84
970.64	418.47
975.80	418.10
977.39	421.04
978.64	418.58
980.81	417.30
980.88	416.75
979.73	415.82
979.79	413.10
976.97	420.94
980.27	424.09
983.08	424.21
981.12	421.78
986.77	421.35
984.21	425.47
983.30	420.24
981.78	414.71
985.45	412.09
980.83	409.92
982.02	408.44
980.29	404.06
981.27	404.43
977.37	401.57
980.83	401.36
977.33	399.50
973.36	401.79
982.60	402.87
987.38	405.63
984.74	404.37
984.71	407.51
987.53	405.46
995.71	409.27
991.74	409.64
989.66	410.02
984.29	404.45
980.70	402.69
978.58	402.12
977.93	399.65
977.53	398.97
982.41	398.97
984.12	396.80
982.83	394.31
982.95	393.27
932.34	411.37
