Object Tracking Data File Wed, Mar 4, 2026 11:12 AM
X (pixels)  	Y (pixels)  
1148.23	207.84
1146.77	203.52
1150.24	202.92
1148.97	197.89
1151.49	200.05
1150.07	200.96
1146.89	197.50
1148.57	197.89
1150.70	198.07
1146.00	189.33
1145.91	182.17
1148.99	184.56
1147.60	181.41
1145.23	179.05
1155.26	179.85
1154.43	179.09
1144.07	184.82
1147.04	178.80
1148.70	177.16
1148.09	170.02
1155.13	164.27
1156.64	162.17
1151.02	165.67
1158.59	165.29
1162.57	164.35
1159.14	160.82
1163.67	156.81
1164.21	153.64
1166.16	152.01
1159.03	152.69
1164.98	147.48
1167.54	140.16
1163.57	134.30
1165.24	133.68
1169.74	134.50
1167.35	134.91
1175.19	132.81
1182.05	134.93
1195.34	133.32
1198.63	132.33
1201.78	129.26
1199.31	128.28
1204.59	125.45
1202.90	122.88
1204.36	124.24
1202.86	124.25
1199.15	119.34
1205.45	125.20
1201.51	123.96
1209.76	123.55
1206.02	121.14
1208.89	121.41
1206.48	117.08
1201.92	114.08
1205.82	111.17
1219.08	108.79
1222.85	108.46
1221.86	105.80
1276.23	30.29
1277.22	21.11
1273.96	25.31
1274.75	19.83
1276.12	12.83
1276.07	12.07
1274.36	11.18
1275.96	9.06
1276.91	13.15
0.00	0.00
1276.53	19.47
1275.39	18.01
1277.13	21.32
1277.98	29.19
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
1265.45	78.62
