Object Tracking Data File Wed, Mar 4, 2026 11:13 AM
X (pixels)  	Y (pixels)  
152.66	637.76
156.00	636.66
196.05	637.25
193.89	634.80
197.16	629.18
197.46	634.95
197.92	638.06
194.95	633.81
195.38	635.17
193.83	634.07
196.16	639.16
199.11	637.50
199.17	636.71
200.73	645.74
200.54	649.38
203.16	643.93
203.21	645.00
201.74	645.39
200.15	643.28
201.94	647.13
191.77	645.22
192.33	646.25
194.24	650.88
196.91	646.94
191.12	648.45
190.33	645.96
190.13	641.84
193.04	641.54
189.70	643.24
190.27	639.75
190.04	633.63
193.78	629.29
200.45	631.18
196.34	634.06
195.60	634.00
195.64	629.96
200.73	635.01
210.07	640.15
208.16	634.18
210.41	640.70
205.71	641.06
201.82	638.32
200.73	637.07
203.79	634.72
212.03	631.77
209.26	638.27
206.22	638.33
207.65	641.38
208.98	643.41
212.26	642.89
209.35	644.38
210.29	639.95
212.00	641.01
214.25	641.25
211.51	640.60
214.20	636.65
221.72	639.17
218.39	644.68
217.60	642.86
218.23	642.03
219.16	637.34
224.17	637.38
229.63	636.42
234.80	639.24
231.65	640.20
226.94	634.13
223.86	635.15
222.23	634.88
224.88	637.15
225.49	642.68
228.29	644.43
228.48	646.40
229.29	640.75
226.90	642.54
223.60	644.99
219.09	646.96
222.66	643.67
221.87	642.32
221.96	637.61
222.90	636.32
228.03	642.36
232.76	642.49
237.82	650.17
242.84	644.15
236.36	635.47
238.31	633.44
236.92	635.61
236.74	632.33
241.34	630.27
238.66	635.42
234.19	636.52
232.73	637.06
229.50	642.89
232.99	641.83
231.12	647.60
231.19	647.93
231.98	649.92
233.68	650.15
235.46	652.50
235.59	654.07
227.43	649.88
226.66	654.13
226.47	655.86
227.51	660.81
234.58	662.43
232.28	665.26
231.82	666.76
231.02	669.77
222.15	661.81
222.49	665.63
220.94	665.00
222.57	668.73
221.12	667.68
226.96	671.08
231.73	674.76
228.01	677.36
223.64	676.02
228.20	673.89
237.37	673.26
238.25	672.04
161.02	638.10
