Object Tracking Data File Wed, Mar 4, 2026 10:55 AM
X (pixels)  	Y (pixels)  
355.21	380.99
355.75	374.18
396.02	370.07
407.52	371.46
405.63	368.82
402.97	367.06
404.48	360.47
402.04	360.21
403.56	359.76
399.25	361.38
402.78	359.41
399.92	354.25
399.06	357.66
403.38	359.38
403.98	359.54
398.97	353.13
406.46	353.42
408.66	353.91
410.95	352.90
407.16	353.27
403.25	350.84
404.55	347.75
406.48	348.91
406.32	352.67
403.55	356.06
406.01	356.38
406.58	357.26
410.07	350.82
407.57	353.59
410.05	350.38
409.92	356.22
414.42	360.83
418.18	365.13
411.76	369.88
411.06	372.53
416.59	376.52
413.29	376.13
426.48	369.73
430.47	368.95
432.55	367.69
427.59	366.51
431.08	358.67
431.18	354.49
429.53	349.66
419.75	350.13
418.92	349.38
418.21	347.56
410.42	345.87
412.61	340.31
413.06	331.79
408.31	340.64
404.38	337.07
406.43	335.53
404.82	342.86
400.36	339.35
402.16	342.71
404.22	340.66
405.52	343.77
406.68	348.01
404.76	348.44
407.58	347.93
406.51	340.25
408.68	331.17
409.17	328.40
403.72	330.98
400.89	333.44
405.27	332.45
399.73	331.76
404.24	329.18
402.94	325.95
403.01	324.01
405.00	321.13
403.05	321.49
398.93	318.10
400.85	324.20
392.02	325.35
389.60	327.80
384.82	331.78
383.38	340.39
382.14	333.96
383.96	336.47
383.72	336.90
383.30	341.52
380.12	338.46
381.20	341.74
379.47	336.09
385.24	337.37
384.14	337.05
389.26	335.67
381.10	335.23
382.21	329.82
379.82	332.42
386.52	328.96
395.61	330.50
398.64	334.05
404.94	330.21
405.52	330.60
403.76	334.56
406.70	335.96
401.55	333.11
401.87	331.06
406.16	327.84
408.33	329.69
411.03	326.82
415.56	324.71
418.62	323.81
418.10	323.47
417.72	320.58
424.01	315.57
430.09	318.67
432.43	323.82
429.26	325.93
430.40	323.78
427.38	327.11
426.10	322.77
423.15	327.95
419.03	325.28
424.81	327.52
424.37	330.25
425.64	334.20
