Object Tracking Data File Wed, Mar 4, 2026 11:02 AM
X (pixels)  	Y (pixels)  
922.64	293.74
919.01	296.40
921.53	295.79
921.30	294.61
920.81	287.57
924.81	283.98
924.26	280.41
923.65	280.05
920.80	278.61
924.18	280.31
923.52	284.94
925.02	281.66
927.25	281.58
928.79	284.63
927.11	287.03
929.95	283.34
929.61	279.33
927.77	281.76
924.92	279.85
925.42	274.77
927.94	276.85
928.07	271.02
926.16	269.17
924.95	269.56
922.38	274.93
915.89	277.45
915.40	286.53
921.38	291.70
921.07	289.20
922.63	285.08
928.57	280.16
928.80	278.76
931.20	277.58
929.48	276.20
932.46	272.74
932.92	274.61
932.48	277.81
935.18	280.25
930.87	276.05
933.02	277.64
935.25	276.45
934.77	275.17
937.89	279.11
939.05	275.54
944.52	273.91
943.84	271.20
939.32	265.16
934.99	261.93
934.18	257.44
937.12	247.85
938.94	248.23
942.59	251.99
944.05	253.71
940.93	247.14
947.56	253.35
943.65	255.39
951.03	256.13
949.84	253.75
949.09	252.71
947.12	247.91
944.36	243.45
936.63	241.52
938.78	245.51
941.65	242.75
945.28	240.90
948.30	234.71
950.18	239.77
951.86	239.28
950.34	244.78
948.28	249.44
947.41	252.50
951.55	247.66
959.38	251.02
952.54	247.59
956.50	248.35
962.14	246.07
959.76	244.29
951.63	244.30
951.65	241.49
943.16	240.34
944.51	245.46
948.76	236.42
955.01	238.42
951.54	240.48
948.53	249.25
951.42	248.15
946.02	246.81
946.95	250.17
941.62	245.20
939.29	244.44
948.51	244.16
951.76	239.88
958.62	240.51
961.66	244.94
964.82	248.74
960.22	248.25
958.75	248.64
960.53	255.79
960.14	250.80
966.21	252.88
969.33	254.51
972.03	251.41
974.55	252.30
971.13	252.29
972.09	249.34
970.14	249.36
974.31	247.03
971.88	248.30
972.88	254.20
973.94	255.46
972.73	258.29
972.49	263.11
978.61	263.88
976.78	262.55
976.05	260.99
975.59	251.90
976.97	252.98
974.43	252.37
969.84	254.35
971.18	254.14
